Title,Make,Model,Year,Condition,Transmission,Price
Lexus Rx 350 Fwd 2017 Blue,Lexus,RX 350,2017,foreign used,Automatic,41000000
Toyota Sequoia Sr5 4Dr Suv (4.7L 8Cyl 4A) 2003 Gray,Toyota,Sequoia SR5,2003,local used,Automatic,4650000
Toyota Solara 2008 Black,Toyota,Solara,2008,foreign used,Automatic,6600000
Toyota Corolla Le 2004 Gray,Toyota,Corolla LE,2004,foreign used,Automatic,7800000
Toyota Venza Limited 4Dr Wagon Awd (3.5L 6Cyl 6A) 2014 Gray,Toyota,Venza Limited,2014,local used,Automatic,13000000
Lexus Is 250 2009 White,Lexus,IS 250,2009,foreign used,Automatic,11500000
Toyota Highlander Limited 2012 White,Toyota,Highlander Limited,2012,foreign used,Automatic,18500000
Toyota Camry Se 4Dr Sedan (2.5L 4Cyl 6A) 2016 Silver,Toyota,Camry SE,2016,foreign used,Automatic,15500000
Toyota Highlander Limited 2012 Black,Toyota,Highlander Limited,2012,foreign used,Automatic,18000000
Mazda Cx 9 Sport 2013 Green,Mazda,CX-9 Sport,2013,foreign used,Automatic,13500000
Toyota Sienna 2025 Blue,Toyota,Sienna,2025,local used,Automatic,6500000
Toyota Sienna Xle 7 Passenger Mobility 2011 White,Toyota,Sienna XLE,2011,foreign used,Automatic,17000000
Kia Sorento 4Dr Suv 2016 White,Kia,Sorento 4dr,2016,foreign used,Automatic,17500000
Toyota Highlander Limited 4X4 2009 Black,Toyota,Highlander Limited,2009,foreign used,Automatic,16000000
Toyota Highlander Limited 4Dr Suv Awd (3.5L 6Cyl 6A) 2015 Gray,Toyota,Highlander Limited,2015,local used,Automatic,18450000
Toyota Rav4 2.5 Limited 2010 Black,Toyota,RAV4 2,2010,local used,Automatic,6650000
Toyota Highlander Xle Awd 2020 Gray,Toyota,Highlander XLE,2020,foreign used,Automatic,49400000
Lexus Es 2014 Black,Lexus,ES,2014,foreign used,Automatic,18500000
Honda Accord Ex 4Dr Sedan Fwd (2.4L 4Cyl 2A) 2016 Burgundy,Honda,Accord EX,2016,foreign used,Automatic,18300000
Ford Kuga 2013 Blue,Ford,Kuga,2013,foreign used,Automatic,12500000
Hyundai Sonata N Line 2021 Red,Hyundai,Sonata N,2021,foreign used,Automatic,34000000
Ford Explorer Limited 4Dr Suv Awd (3.5L 6Cyl 6A) 2016 Silver,Ford,Explorer Limited,2016,local used,Automatic,14790000
Ford Edge Se 4Dr Fwd (3.5L 6Cyl 6A) 2012 Black,Ford,Edge SE,2012,local used,Automatic,6890000
Mercedes Benz Sl Class 1995 Red,Mercedes-Benz,SL-Class,1995,foreign used,Automatic,35000000
Lexus Rx 350 Awd 2018 Gray,Lexus,RX 350,2018,foreign used,Automatic,35000000
Lexus Es 330 Sedan 2004 White,Lexus,ES 330,2004,local used,Automatic,4800000
Hyundai Sonata 2018 Red,Hyundai,Sonata,2018,foreign used,Automatic,20000000
Mercedes Benz E350 2014 Silver,Mercedes-Benz,E350,2014,foreign used,Automatic,22500000
Toyota Rav4 1999 Gray,Toyota,RAV4,1999,local used,Automatic,2200000
Mercedes Benz Gle Class 2018 White,Mercedes-Benz,GLE-Class,2018,local used,Automatic,49000000
Honda Accord 2.0 Comfort Automatic 2007 Silver,Honda,Accord 2,2007,local used,Automatic,3164062
