title,make,model,year,condition,transmission,price
Lexus RX 350 FWD 2017 Blue,Lexus,RX 350,2017,foreign used,automatic,"₦ 41,000,000"
Toyota Sequoia SR5 4dr SUV (4.7L 8cyl 4A) 2003 Gray,Toyota,Sequoia SR5,2003,local used,automatic,"₦ 4,650,000"
Toyota Solara 2008 Black,Toyota,Solara,2008,foreign used,automatic,"₦ 6,600,000"
Toyota Corolla LE 2004 Gray,Toyota,Corolla LE,2004,foreign used,automatic,"₦ 7,800,000"
Toyota Venza Limited 4dr Wagon AWD (3.5L 6cyl 6A) 2014 Gray,Toyota,Venza Limited,2014,local used,automatic,"₦ 13,000,000"
Lexus IS 250 2009 White,Lexus,IS 250,2009,foreign used,automatic,"₦ 11,500,000"
Toyota Highlander Limited 2012 White,Toyota,Highlander Limited,2012,foreign used,automatic,"₦ 18,500,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2016 Silver,Toyota,Camry SE,2016,foreign used,automatic,"₦ 15,500,000"
Toyota Highlander Limited 2012 Black,Toyota,Highlander Limited,2012,foreign used,automatic,"₦ 18,000,000"
Mazda CX-9 Sport 2013 Green,Mazda,CX-9 Sport,2013,foreign used,automatic,"₦ 13,500,000"
Toyota Sienna 2025 Blue,Toyota,Sienna,2025,local used,automatic,"₦ 6,500,000"
Toyota Sienna XLE 7 Passenger Mobility 2011 White,Toyota,Sienna XLE,2011,foreign used,automatic,"₦ 17,000,000"
Kia Sorento 4dr SUV 2016 White,Kia,Sorento 4dr,2016,foreign used,automatic,"₦ 17,500,000"
Toyota Highlander Limited 4x4 2009 Black,Toyota,Highlander Limited,2009,foreign used,automatic,"₦ 16,000,000"
Toyota Highlander Limited 4dr SUV AWD (3.5L 6cyl 6A) 2015 Gray,Toyota,Highlander Limited,2015,local used,automatic,"₦ 18,450,000"
Lexus LX 2017 White,Lexus,LX,2017,local used,automatic,"₦ 80,000,000"
Toyota RAV4 2.5 Limited 2010 Black,Toyota,RAV4 2,2010,local used,automatic,"₦ 6,650,000"
Toyota Highlander XLE AWD 2020 Gray,Toyota,Highlander XLE,2020,foreign used,automatic,"₦ 49,400,000"
Lexus ES 2014 Black,Lexus,ES,2014,foreign used,automatic,"₦ 18,500,000"
Honda Accord EX 4dr Sedan FWD (2.4L 4cyl 2A) 2016 Burgundy,Honda,Accord EX,2016,foreign used,automatic,"₦ 18,300,000"
Ford Kuga 2013 Blue,Ford,Kuga,2013,foreign used,automatic,"₦ 12,500,000"
Hyundai Sonata N Line 2021 Red,Hyundai,Sonata N,2021,foreign used,automatic,"₦ 34,000,000"
Ford Explorer Limited 4dr SUV AWD (3.5L 6cyl 6A) 2016 Silver,Ford,Explorer Limited,2016,local used,automatic,"₦ 14,790,000"
Ford Edge SE 4dr FWD (3.5L 6cyl 6A) 2012 Black,Ford,Edge SE,2012,local used,automatic,"₦ 6,890,000"
Mercedes-Benz SL-Class 1995 Red,Mercedes-Benz,SL-Class,1995,foreign used,automatic,"₦ 35,000,000"
Lexus RX 350 AWD 2018 Gray,Lexus,RX 350,2018,foreign used,automatic,"₦ 35,000,000"
Lexus ES 330 Sedan 2004 White,Lexus,ES 330,2004,local used,automatic,"₦ 4,800,000"
Hyundai Sonata 2018 Red,Hyundai,Sonata,2018,foreign used,automatic,"₦ 20,000,000"
